title,rating,year,actors,languages,runtime,url
Le trou,8.5,1960,André Bervil;Jean Keraudy;Michel Constantin;Philippe Leroy,French,131,https://www.imdb.com//title/tt0054407/
Mughal-E-Azam,8.2,1960,Prithviraj Kapoor;Madhubala;Dilip Kumar;Durga Khote,Urdu,197,https://www.imdb.com//title/tt0054098/
Ningen no jôken,8.8,1961,Tatsuya Nakadai;Michiyo Aratama;Tamao Nakamura;Yûsuke Kawazu,Japanese;Mandarin;Russian,190,https://www.imdb.com//title/tt0055233/
Viridiana,8.1,1961,Silvia Pinal;Francisco Rabal;Fernando Rey;José Calvo,Spanish;English,90,https://www.imdb.com//title/tt0055601/
Als in een donkere spiegel,8.0,1961,Harriet Andersson;Gunnar Björnstrand;Max von Sydow;Lars Passgård,Swedish;Latin,90,https://www.imdb.com//title/tt0055499/
Yôjinbô,8.2,1961,Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai;Yôko Tsukasa,Japanese,110,https://www.imdb.com//title/tt0055630/
Oordeel te Neurenberg,8.2,1961,Spencer Tracy;Burt Lancaster;Richard Widmark;Marlene Dietrich,English;German,179,https://www.imdb.com//title/tt0055031/
Ivanovo detstvo,8.1,1962,Eduard Abalov;Nikolay Burlyaev;Valentin Zubkov;Evgeniy Zharikov;Stepan Krylov,Russian;German,95,https://www.imdb.com//title/tt0056111/
Lawrence of Arabia,8.3,1962,Peter O'Toole;Alec Guinness;Anthony Quinn;Jack Hawkins,English;Arabic;Turkish,228,https://www.imdb.com//title/tt0056172/
Il sorpasso,8.3,1962,Vittorio Gassman;Jean-Louis Trintignant;Catherine Spaak;Claudio Gora,Italian;Latin;German;English;Arabic,105,https://www.imdb.com//title/tt0056512/
Seppuku,8.6,1962,Tatsuya Nakadai;Akira Ishihama;Shima Iwashita;Tetsurô Tanba,Japanese,133,https://www.imdb.com//title/tt0056058/
To Kill a Mockingbird,8.3,1962,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy,English,129,https://www.imdb.com//title/tt0056592/
8½,8.0,1963,Marcello Mastroianni;Anouk Aimée;Claudia Cardinale;Sandra Milo,Italian;French;English;German,138,https://www.imdb.com//title/tt0056801/
The Great Escape,8.2,1963,Steve McQueen;James Garner;Richard Attenborough;Charles Bronson,English;German;French;Russian;Spanish,172,https://www.imdb.com//title/tt0057115/
El verdugo,8.0,1963,Nino Manfredi;Emma Penella;José Isbert;José Luis López Vázquez,Spanish,87,https://www.imdb.com//title/tt0057643/
Tengoku to jigoku,8.4,1963,Toshirô Mifune;Yutaka Sada;Tatsuya Nakadai;Kyôko Kagawa,Japanese,143,https://www.imdb.com//title/tt0057565/
Nattvardsgästerna,8.1,1963,Ingrid Thulin;Gunnar Björnstrand;Gunnel Lindblom;Max von Sydow,Swedish,81,https://www.imdb.com//title/tt0057358/
Fail Safe,8.0,1964,Henry Fonda;Walter Matthau;Fritz Weaver;Dan O'Herlihy,English,112,https://www.imdb.com//title/tt0058083/
Soy Cuba,8.2,1964,Sergio Corrieri;Salvador Wood;José Gallardo;Raúl García,Spanish;English,141,https://www.imdb.com//title/tt0058604/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Peter Sellers;George C. Scott;Sterling Hayden;Keenan Wynn,English;Russian,95,https://www.imdb.com//title/tt0057012/
Charulata,8.2,1964,Soumitra Chatterjee;Madhabi Mukherjee;Shailen Mukherjee;Shyamal Ghoshal,Bengali;English,117,https://www.imdb.com//title/tt0057935/
De vrouw in het zand,8.5,1964,Eiji Okada;Kyôko Kishida;Hiroko Itô;Kôji Mitsui,Japanese,147,https://www.imdb.com//title/tt0058625/
Het winkeltje aan 't Corso,8.3,1965,Elmar Klos;Ida Kaminska;Jozef Kroner;Frantisek Zvarík;Hana Slivková,Slovak;Yiddish;German;Latin,128,https://www.imdb.com//title/tt0059527/
